Year,Age,IRA_Start,Roth_Start,Expenses,Social_Security,Net_Expenses,Conversion_Amount,Conversion_Tax,IRA_Withdrawal,Brokerage_Withdrawal,Savings_Withdrawal,Roth_Withdrawal,Total_Taxes,IRA_End,Roth_End,Savings_End,Brokerage_End,Home_Equity,Net_Worth
2026,62,1287500.0,257500.0,80000.0,0,80000.0,80000.0,17600.0,0.0,0.0,80000.0,0,17600.0,1207500.0,337500.0,211400.0,1236000.0,900000.0,3892400.0
2027,63,1243725.0,347625.0,104000.0,0,104000.0,80000.0,17600.0,0.0,0.0,104000.0,0,17600.0,1163725.0,427625.0,96142.0,1273080.0,936000.0,3896572.0
2028,64,1198636.75,440453.75,173056.00000000003,0,173056.00000000003,44803.094117647044,9856.68070588235,0.0,98689.90671280278,89169.57929411766,0,24660.16671280277,1153833.655882353,485256.84411764704,0.0,1212582.4932871973,973440.0000000001,3825112.9932871973
2029,65,1188448.6655588236,499814.54944117647,89989.12000000001,0,89989.12000000001,35415.223529411756,7791.349176470587,0.0,105869.55294117649,0.0,0,23671.78211764706,1153033.442029412,535229.7729705882,0.0,1135299.065968166,1012377.6000000001,3835939.880968166
2030,66,1187624.4452902942,551286.6661597058,93588.68480000002,0,93588.68480000002,33297.832470588226,7325.52314352941,0.0,110104.33505882355,0.0,0,23841.173402352943,1154326.612819706,584584.4986302941,0.0,1051928.1797448583,1052872.7040000001,3843711.995194859
2031,67,1188956.4112042973,602122.0335892029,97332.23219200001,36000,61332.23219200001,52272.21635764705,11499.887598682351,0.0,72155.5672847059,0.0,0,22323.222691388237,1136684.1948466504,654394.24994685,0.0,999830.5702538156,1094987.61216,3885896.627207316
2032,68,1170784.72069205,674026.0774452555,101225.52147968003,36000,65225.52147968003,49982.04618842351,10996.050161453173,0.0,76735.90762315298,0.0,0,22506.43630492612,1120802.6745036265,724008.123633679,0.0,942093.5295768239,1138787.1166464004,3925691.44436053
2033,69,1154426.7547387353,745728.3673426894,105274.54233886722,36000,69274.54233886722,47600.26921243105,10472.059226734831,0.0,81499.4615751379,0.0,0,22696.978463005515,1106826.4855263042,793328.6365551205,0.0,878384.8146622559,1184338.6013122562,3962878.538055937
2034,70,1140031.2800920934,817128.4956517741,109485.5240324219,36000,73485.5240324219,45123.221157398875,9927.108654627753,0.0,86453.55768520225,0.0,0,22895.14230740809,1094908.0589346946,862251.716809173,0.0,808355.6927622936,1231712.1453647465,3997227.6138709076
2035,71,1127755.3007027355,888119.2683134482,85398.7087452891,36000,49398.7087452891,50000.0,11000.0,0.0,58116.127935634235,0.0,0,19717.419190345136,1077755.3007027355,938119.2683134482,0.0,763490.2356095283,1280980.6311793365,4060345.4358050483
2036,72,1110087.9597238177,966262.8463628517,88814.65709510066,36000,52814.65709510066,50000.0,11000.0,0.0,62134.89070011842,0.0,0,20320.233605017762,1060087.9597238177,1016262.8463628517,0.0,713260.0519776958,1332219.85642651,4121830.714490875
2037,73,1091890.5985155322,1046750.7317537372,92367.24337890469,36000,56367.24337890469,30000.0,6600.0,0.0,66314.403975182,0.0,0,16547.1605962773,1061890.5985155322,1076750.7317537372,0.0,661743.4495618447,1385508.6506835704,4185893.430514685
2038,74,1093747.316470998,1109053.2537063493,96061.93311406088,36000,60061.933114060885,0.0,0.0,0.0,70661.0977812481,0.0,0,10599.164667187215,1093747.316470998,1109053.2537063493,0.0,610934.6552674519,1440928.9967109133,4254664.222155713
2039,75,1126559.735965128,1142324.8513175398,99904.41043862332,36000,63904.41043862332,0.0,0.0,0.0,75181.65933955685,0.0,0,11277.248900933528,1126559.735965128,1142324.8513175398,0.0,554081.0355859187,1498566.15657935,4321531.779447936
2040,76,1160356.528044082,1176594.596857066,103900.58685616826,36000,67900.58685616826,0.0,0.0,0.0,79883.04336019795,0.0,0,11982.456504029691,1160356.528044082,1176594.596857066,0.0,490820.42329329834,1558508.802842524,4386280.3510369705
2041,77,1195167.2238854044,1211892.434762778,108056.61033041499,36000,72056.61033041499,0.0,0.0,0.0,84772.48274166469,0.0,0,12715.872411249702,1195167.2238854044,1211892.434762778,0.0,420772.5532504326,1620849.1549562248,4448681.36685484
2042,78,1231022.2406019666,1248249.2078056613,112378.87474363159,36000,76378.87474363159,0.0,0.0,0.0,89857.49969839011,0.0,0,13478.624954758516,1231022.2406019666,1248249.2078056613,0.0,343538.2301495555,1685683.1211544739,4508492.799711657
2043,79,1267952.9078200257,1285696.6840398312,116874.02973337687,36000,80874.02973337687,0.0,0.0,0.0,95145.91733338455,0.0,0,14271.887600007683,1267952.9078200257,1285696.6840398312,0.0,258698.4597206576,1753110.446000653,4565458.497581167
2044,80,1305991.4950546266,1324267.5845610262,121548.99092271195,36000,85548.99092271195,0.0,0.0,0.0,100645.87167377876,0.0,0,15096.880751066814,1305991.4950546266,1324267.5845610262,0.0,165813.5418384986,1823234.8638406794,4619307.485294831
2045,81,1345171.2399062654,1363995.612097857,126410.95055962043,36000,90410.95055962043,0.0,0.0,0.0,106365.82418778873,0.0,0,15954.873628168309,1345171.2399062654,1363995.612097857,0.0,64422.123905864835,1896164.2583943065,4669753.234304294
2046,82,1385526.3771034535,1404915.4804607928,131467.38858200525,36000,95467.38858200525,0.0,0.0,50084.383464641774,66354.78762304079,0.0,0,20971.782505677307,1335441.9936388116,1404915.4804607928,0.0,0.0,1972010.8287300786,4712368.302829683
2047,83,1375505.253447976,1447062.9448746166,136726.08412528547,36000,100726.08412528547,0.0,0.0,129136.00528882752,0.0,0.0,0,28409.921163542054,1246369.2481591485,1447062.9448746166,0.0,0.0,2050891.261879282,4744323.454913047
2048,84,1283760.325603923,1490474.833220855,142195.12749029687,36000,106195.12749029687,0.0,0.0,136147.59934653444,0.0,0.0,0,29952.471856237575,1147612.7262573887,1490474.833220855,0.0,0.0,2132926.912354453,4771014.471832696
2049,85,1182041.1080451105,1535189.0782174808,147882.93258990877,36000,111882.93258990877,0.0,0.0,143439.6571665497,0.0,0.0,0,31556.724576640936,1038601.4508785608,1535189.0782174808,0.0,0.0,2218243.9888486317,4792034.517944673
