Simulation_ID,Final_Net_Worth,Final_Roth_Balance,Total_Conversions,Total_Taxes,Roth_Preserved,Years_With_Shortfall,Worst_Year_Return,Best_Year_Return,Sequence_Risk
0,3913116.4665610734,1402956.8456773327,607568.2025187273,422020.26190738264,True,0,-0.1220866477485464,0.21502088733390123,0.017634819683695617
1,42604394.32682501,7728353.473845529,739913.7608758769,349543.0524713553,True,0,-0.03177506909787603,0.40439720495480114,0.2489866694918303
2,3138385.219007414,1216212.1086386708,578227.1144159411,445162.75611027953,True,0,-0.09166815601284467,0.15799226712822523,0.085469836671102
3,33858884.96790643,9260988.710152723,625404.4500816409,384921.0958998668,True,0,0.03493761885555998,0.2236100854956428,0.0493379975508539
4,6986765.636707023,1784024.0239382277,690271.0369088181,373323.54848152364,True,0,-0.11448847487500131,0.3285642261453777,0.0988351972906848
5,21641710.548810616,6233338.907802683,631273.7306545399,384679.4196409827,True,0,0.009522580781095854,0.18592808271332834,0.021139744508696365
6,8942858.590169104,2085325.3004119864,679043.949800345,378535.18620210694,True,0,-0.09657136710529256,0.250261462288677,0.13477695794532746
7,10697035.737030294,2930550.852792781,621470.5942901465,385083.0781971636,True,0,-0.1194918696228484,0.1764372531649477,0.011375278302442199
8,13676131.275660774,3376044.005834719,679718.0972978259,378507.4271875048,True,0,-0.05723211893869826,0.24076103285498276,0.0720877883302557
9,36040481.36502855,8033294.512662784,703005.2567349618,373311.42771005875,True,0,0.03412876946670401,0.2835636199034046,0.12831684476883287
10,7949755.423202153,2330924.051569514,647198.5898499945,383567.4267255238,True,0,-0.09260048179091776,0.20789119718510524,0.02310621432630737
11,3538906.0199648486,1644116.0745746738,567198.5898499945,454105.60387618135,True,0,-0.13974862524937307,0.19085834043988004,0.08201140200049892
12,8700605.392677547,2519601.5520930644,658678.202582895,379373.77579341375,True,0,-0.04197342178803709,0.2337043226807492,0.045966790357255344
13,15893435.622788092,4153492.751297792,670203.9584480595,378899.1858460246,True,0,-0.002670426901656312,0.25229028773441486,0.058423223335609925
14,1836691.5237303115,60463.66371636621,358109.5942304152,249079.91520673095,False,0,-0.32087989111389154,0.125356086634375,0.1778091110884602
15,19786167.389539238,5995803.039169184,637198.6084632921,384435.4540841517,True,0,-0.013138581656797661,0.19783995681938157,0.012192683879648003
16,10389703.76685257,2887935.1706092022,647467.1819208722,378471.89804735116,True,0,-0.05199358816410486,0.23696763953184685,0.052960610773127206
17,2145195.779164593,368967.91915064777,487198.5898499945,301972.1749744255,False,0,-0.15761538410051854,0.11816112636750524,0.14424207286780735
18,5865382.834208208,2489878.2459229897,604519.8967890257,409460.6781317652,True,0,-0.05560413776263267,0.1668883682006403,0.05928907454579096
19,19545254.25209978,5761686.2120369375,624895.179061976,384942.0658830294,True,0,-0.0013720784701873718,0.16867744522868156,0.025067024066012245
20,7226533.4534879625,2825135.2454090556,567198.5898499945,385965.22280343017,True,0,-0.19441606071411366,0.15195330275876243,0.035712048129799744
21,14833379.008264141,3628948.500880879,680370.3974811968,378480.56776818953,True,0,0.025963631004198934,0.24868292629875446,0.08718414515983006
22,5644535.294323271,2335118.4427670306,603335.6402723375,412891.4433836293,True,0,-0.08010649866763937,0.14446117735164068,0.06468892205882718
23,2139586.074146382,363358.2141324368,387284.82897411764,269104.6286387843,False,0,-0.2591498528088909,0.17752695915898584,0.1656368197171764
24,9451998.78559043,2989952.1348258764,599126.7550273148,386003.1186373978,True,0,-0.06785418594805531,0.18532582350098908,0.005553077328691335
25,10241370.609811297,4187227.4221169334,589870.1969298541,386384.2710296462,True,0,-0.05212516995041932,0.19212654023746384,0.04576372737844366
26,35057408.408642665,7751696.573273004,685181.779441849,378282.45204039797,True,0,-0.06495345625645696,0.2357862443659848,0.1338070642141543
27,1776227.8600139453,0.0,434180.0106253505,259345.4724644722,False,2,-0.18460205776190958,0.11147015388504397,0.14854865749643248
28,6014870.785833414,2132495.9910836075,604093.3587767038,385798.6114241877,True,0,-0.08101045736371318,0.11861109331765682,0.04551092623982398
