Simulation_ID,Final_Net_Worth,Final_Roth_Balance,Total_Conversions,Total_Taxes,Roth_Preserved,Years_With_Shortfall,Worst_Year_Return,Best_Year_Return,Sequence_Risk
0,3688757.952726283,1236067.2835407865,577670.6140146734,418173.437498295,False,0,-0.147431211451955,0.15380217849657277,0.05748728589242286
1,18099178.967495102,6092728.701768095,617581.9295412148,385243.1996868255,True,0,-0.00010399850399722064,0.23295066313216214,0.02638179225635419
2,3538688.305399689,1762460.4453857434,585725.1135116427,441419.75978919835,False,0,-0.1615410189209564,0.15805080575257333,0.04364176015407849
3,9865959.78637605,4127657.407014498,590959.1238181053,386339.4328636594,True,0,-0.0465495007025825,0.2377506974078271,0.07947171128051021
4,2410048.6570368777,633820.7970229323,587438.6590486312,402987.99956264836,False,0,-0.1205139065431393,0.15411907708877107,0.03840932276060382
5,32424006.279683106,5234712.200951088,740000.0,290095.2005384933,True,0,-0.11248244777813986,0.6525323594797101,0.30724148369922594
6,33935334.482180044,10069070.491258247,606210.8706999314,385711.4197567607,True,0,-0.003721026623382211,0.2513759293630743,0.01270403104616026
7,43005960.09839633,6504597.964339515,740000.0,196613.71415904348,True,0,-0.07140985722791965,0.6424740302153942,0.3774794446042042
8,21440107.147603825,4091186.8991538216,739913.7608758769,357480.5941096875,True,0,-0.11665193871236895,0.5432009804525908,0.18698502365265038
9,23476039.617661238,5035041.871260222,647198.5898499945,378450.7244104646,True,0,-0.10458492774474304,0.3396740530555448,0.1605312972082499
10,40642873.61747092,9029369.350484079,666909.0251733478,379034.85956910095,True,0,-0.04036311420256277,0.33056256681944474,0.12474510960342011
11,15400351.65480713,3001168.479314146,720388.4970699748,372595.6472256759,True,0,-0.1403084486489659,0.33029227713019543,0.1678333839824093
12,4031550.743955451,1786551.2871608732,567198.5898499945,447737.14966107014,True,0,-0.19754720161906958,0.2155301794161569,0.05877870238746419
13,4169146.5917955367,1148949.4019480448,669355.5849152756,390060.36524375755,True,0,-0.17053387204319553,0.23583220761195406,0.031466071838908594
14,5543549.898448383,1207919.8866089098,666427.7023597981,379054.6787437765,True,0,-0.1616407299544854,0.362487477366661,0.079209065901959
15,36317030.05271627,7094146.4721745895,737982.8972715443,367069.0851656755,True,0,-0.06190191294021482,0.5081169991004857,0.16917188417088896
16,51784511.298255086,11567584.389565025,732679.4347125458,372089.5497933347,True,0,0.0016826291074270097,0.40074145927169974,0.1392190797761956
17,1776227.8600139453,0.0,220369.16680324226,162700.41567932814,False,13,-0.3649198218765821,0.23203196739495316,0.2463558798770554
18,6310413.481202127,1409804.1867182935,694454.5472896178,373382.3843108281,True,0,-0.1596295169261707,0.3522138003930396,0.0908813859277233
19,1776227.8600139453,0.0,110455.60664690005,84634.58092378959,False,20,-0.6458726522637386,0.24272552484884247,0.2799316591635103
20,20162205.7299421,3119893.659505155,740000.0,271900.91847575345,True,0,-0.13057327623878132,0.6308604164646594,0.3322725660637531
21,10932351.16017912,2550450.2238517166,653911.9083080788,379570.0349694356,True,0,-0.09006726305956843,0.21347479472182265,0.07665897852057865
22,3263558.320227327,1487330.4602133818,567198.5898499945,448360.07812485716,False,0,-0.23239832731833132,0.2131319846038351,0.14224510133659427
23,4118416.14708919,1313448.4973311045,611809.1811791532,395805.29977933614,True,0,-0.1093587958954503,0.2521307974486432,0.007152647553210045
24,4502400.323546826,2116428.380373727,567198.5898499945,457109.89000984555,True,0,-0.17594387863320088,0.19950834211049173,0.11989957513441127
25,1776227.8600139453,0.0,216782.75261090405,213971.41242644348,False,1,-0.41528482037655645,0.18225720017873687,0.21845427164007294
26,4935120.955889134,1980759.5074149603,619748.3246297135,411297.995450503,True,0,-0.16557593533742163,0.21243430088342552,0.039839148851275125
27,6660798.229103216,1947529.7488629476,583841.2266860334,386632.52274556825,True,0,-0.17191439796978947,0.22503581905933415,0.038514443618273254
28,7140739.724378033,3539023.937078567,580812.1011678732,435884.4849006777,True,0,-0.11811990801047023,0.19199931635333578,0.09331348226209399
29,11157159.582489185,2393821.471158412,688672.2238600708,378138.7278584712,True,0,-0.14058814381580165,0.25795604738489014,0.1392041569953511
30,7652473.503484291,1603156.3732432458,727891.1499667316,372286.7144593388,True,0,-0.18046022609303886,0.34985022215559025,0.1146113607595215
31,84370926.48048986,16272332.829427684,739913.7608758769,346976.32639398397,True,0,-0.019051933222579212,0.6762229813816463,0.21125902280433317
32,11243199.844402872,2865319.9657151294,647198.5898499945,380290.86720513337,True,0,-0.17300330121110358,0.2378698264741543,0.040944201745157394
33,5901802.404270325,1945108.3447817846,567198.5898499945,384661.6335734108,True,0,-0.15345728932957006,0.2256643634577754,0.043791857023344705
34,15489272.266542928,4065126.3296190132,647198.5898499945,382186.7776876665,True,0,-0.11194545216244797,0.2589761089043786,0.01847519210434795
35,23276938.843008853,5355771.953620962,647198.5898499945,380044.4593536188,True,0,-0.06312236607317492,0.2138666016575594,0.08857583654002818
36,24409991.951809034,5202555.38690719,690271.0369088181,373512.1826523392,True,0,-0.052438950994483056,0.39603809869400336,0.09742745457813573
37,5691783.196286215,2095798.3997270341,567198.5898499945,401831.97013061494,True,0,-0.18445842838966173,0.2108650222685619,0.06774958249254645
38,1776227.8600139453,0.0,328677.06534434675,214801.31941666474,False,5,-0.3469023371554668,0.19880957488034198,0.1841820512349497
39,4496171.845551017,2719943.9855370712,353163.1538327477,240984.86517085764,False,0,-0.30835496186545625,0.35602286024551394,0.1790125167069951
40,36851007.666052446,7783518.89746286,734886.1573794063,366528.99786565127,True,0,-0.04746136206316458,0.3621464269209265,0.18717422361475547
41,9790431.293514496,2979489.277197355,647198.5898499945,383732.87497863756,True,0,-0.09961108146443252,0.19961179478103802,0.050933258862178615
42,41180053.84243319,9148782.265706703,719362.8235343507,372637.8808418486,True,0,0.003192637826872043,0.38392856105876805,0.14787779765320336
43,2695438.316417709,919210.4564037636,567198.5898499945,378471.9160297467,False,0,-0.19119607954215107,0.20683955179017952,0.13541207598475524
44,7354079.499448197,2279402.826859023,658115.5370766135,379396.9443730841,True,0,-0.13190786754886158,0.27646464546873656,0.028159383485852035
45,8874061.1764507,3566147.126852655,567198.5898499945,384946.2711669011,True,0,-0.13289235888155213,0.2577859554004792,0.06526791713923433
46,18688646.1718585,5080101.671215543,642805.3075537793,384204.5900039552,True,0,-0.09456294123404498,0.211657079710818,0.08578886047518566
47,2056033.5090764118,279805.6490624667,601259.7241781144,373672.11805143056,False,0,-0.2042406435982011,0.15525269977036962,0.029711354709072095
48,17909936.814403165,6184816.550433992,624984.0319565029,384938.40723443124,True,0,-0.044835256646717,0.26445175301634527,0.022167061480001513
49,21378574.004630554,4480311.850930322,698937.0903055782,373478.9404453863,True,0,-0.06542263017089535,0.397247803931528,0.12381449687496551
50,2084182.9004112114,307955.0403972662,567198.5898499945,332559.28012485243,False,0,-0.2319563217943581,0.11262616116116723,0.1305734881564461
51,2092949.495080029,316721.63506608363,487198.5898499945,346167.9730654576,False,0,-0.21942177389455303,0.1483285157986961,0.14251229753083175
52,18678658.17477237,4209099.1645138655,684737.3488531874,378300.7521234605,True,0,-0.03651981581156791,0.23183185853637137,0.11501593347283023
53,7626568.580552671,2556436.20837177,610733.3328584022,385525.200726706,True,0,-0.07445700527544032,0.2139972809327514,0.021251699297265766
54,7529076.05759183,3946743.6425936995,567198.5898499945,452398.1601044799,True,0,-0.2555858171799485,0.25254644500692447,0.10632343676082778
55,14283641.109181592,3553769.07181508,645921.8760421213,384076.26071325876,True,0,-0.10355856671055937,0.18983417328601723,0.07459531006067441
