Simulation_ID,Final_Net_Worth,Final_Roth_Balance,Total_Conversions,Total_Taxes,Roth_Preserved,Years_With_Shortfall,Worst_Year_Return,Best_Year_Return,Sequence_Risk
0,3134228.497654832,1352914.555408126,600454.8456301561,445117.3510218741,True,0,-0.04622726598967903,0.14666152483551417,0.05892345607951705
1,8103838.546230379,3018194.5279466,590233.597539677,386369.3074751241,True,0,-0.11785191588631053,0.147699438243726,0.06217542159223053
2,4473300.468244117,1469465.4235621768,603639.5701473574,396528.30459315964,True,0,-0.030933997973778257,0.1137262308773501,0.03574412102814242
3,1776227.8600139453,0.0,400818.72106841306,221451.08450703957,False,6,-0.16853914345077456,0.1478781417035795,0.1687561046793287
4,6431015.136071481,1388345.552186164,692521.2188444667,372957.0520528949,True,0,-0.056417320777191485,0.33342888584601127,0.11560370078113522
5,19473504.541053005,7594455.800929962,594036.7053807373,386212.7089169628,True,0,-0.08260290347990412,0.23821382377443587,0.0793155068563713
6,8926119.761579974,2750770.224602,628499.5941013992,384793.6487931708,True,0,-0.03279450384912026,0.15597513603514762,0.005546269242037771
7,13063006.554090062,2665487.7844547946,734886.1573794063,366982.3830799724,True,0,-0.037426859986050304,0.4370211682556466,0.17332249995941917
8,6919359.769995315,2015828.8225373041,629692.52648828,384744.5280478287,True,0,-0.05390167128147173,0.13872044026888738,0.006117335721316994
9,3280941.1195006706,605131.3398885923,647198.5898499945,382325.47257378575,True,0,-0.15850651874743912,0.15463162741511788,0.05747373208177199
10,9834531.287858147,2477468.4531875113,657978.202039257,379402.5993452106,True,0,-0.08065256365096388,0.26683508260472066,0.06308327447664129
11,7266518.731784802,1793199.3343900251,647198.5898499945,379055.70877317654,True,0,-0.08832668720280872,0.17213088553012704,0.06634146137085395
12,5214526.260420155,1874247.9915708539,567198.5898499945,391794.2161384855,True,0,-0.18555396595680915,0.22872090820523486,0.07797662352960268
13,6250483.744691479,1849193.831601241,651166.4243554533,379285.73138295906,True,0,-0.09086140651876531,0.21747823871341587,0.04300327013004085
14,6856684.080514736,2303789.252555347,590631.8046121877,386352.91071331484,True,0,-0.08797909199191517,0.12054086447286985,0.020772009016383028
15,11092175.579299273,3868524.277877355,635450.9010896677,384507.4185054186,True,0,-0.07046130870077388,0.17199823023974642,0.011959357287123579
16,14076941.958152121,3478622.791191887,673411.0305858711,378767.12993446767,True,0,-0.04157797785817801,0.3114738078822103,0.04808246834155151
17,9063778.318679174,2442482.333425808,647198.5898499945,381408.3471315118,True,0,-0.013488757158949947,0.20907430101580743,0.04774205333331717
18,2309296.551135334,533068.6911213889,578388.7698344117,372369.6348630733,False,0,-0.1030518709908076,0.13227336464897757,0.06194377220894279
19,18325280.09019594,4473564.589234575,671065.3936239321,378863.7149858416,True,0,-0.050837602674185925,0.2447671413590333,0.07443818488790324
20,7950943.866273627,2126393.488086561,631127.7300197027,384685.43143182894,True,0,-0.08635324316463616,0.1747942412424095,0.01104834064387436
21,3182739.4427606175,922237.064695268,611517.7949578065,416870.1354240022,True,0,-0.06902070519176318,0.09509108877811674,0.020694164287927592
22,6821166.832411366,2563191.9976007654,594897.4897035605,386177.26485661126,True,0,-0.06910897039598224,0.19339500952800873,0.03860996361189523
23,7745924.681360355,2237577.645614356,627065.9131794734,384852.68271348544,True,0,-0.10291701357825175,0.1456288431804311,0.012508173471908246
24,1776227.8600139453,0.0,582615.2309061866,298287.67120297276,False,1,-0.12341421758976515,0.0592593477034264,0.10431281175876538
25,3148588.7687166324,1243408.217196988,601105.9123984802,440196.96195185644,True,0,-0.10189948980248303,0.13182711653059825,0.06327456008178321
26,2287191.349451637,510963.4894376918,579704.6859409425,342774.35646301624,False,0,-0.12711357929156988,0.13327347795776337,0.06855671453763751
27,8039937.0166839035,2787258.8820751966,612215.50651423,385464.1700467602,True,0,-0.03044842371511816,0.20342271573442394,0.015394288190250502
28,2127286.0644441433,351058.20443019783,595550.6764043982,354853.6178120131,False,0,-0.14874052949437483,0.14927774449203113,0.12212163500477556
29,5379959.160239513,1581494.7482270345,611426.443311498,385496.6608845197,True,0,-0.09086625147282515,0.13790595306406145,0.021247993691411997
30,6821545.516715139,2223326.5669577913,611671.5452496257,385486.56845177326,True,0,-0.039637665963032094,0.14627165976927442,0.013919626976668556
31,5382914.052493814,1366473.828932036,610322.8734205959,385542.1019976745,True,0,-0.08748755415816833,0.13624978175255634,0.006511198865887094
32,6117781.616693802,2160543.2502221763,628602.0731436092,384789.4290679034,True,0,-0.07950146724985203,0.17924140098716282,0.0012370215105775503
33,2382254.251001974,606026.3909880288,567198.5898499945,420693.73844801285,False,0,-0.17672740191570882,0.0721433952762384,0.0707416742648319
34,6889330.370068013,2366131.8918249975,644044.9933262235,384153.5441192075,True,0,-0.05203978139585484,0.14058950574908116,0.018974003511312988
35,12077101.400961349,3059961.0078291674,623700.3461307747,384991.2648860789,True,0,-0.059197514742952165,0.20055386038950307,0.06488118242585436
36,5995374.138353637,1705987.8964074412,634482.3803233291,384547.2987722678,True,0,-0.07557701531424565,0.12576124196555655,0.015959079416178315
